transect_id,vertex_index,latitude,longitude,elevation,dam
9,14,20.95990233,71.20016773,-5.5,-4.05
9,15,20.95989181,71.20018335,-4.58,-4.05
9,16,20.95988129,71.20019898,-3.57,-4.05
9,17,20.95987076,71.2002146,-2.99,-4.05
9,18,20.95986024,71.20023023,-1.47,-4.05
9,19,20.95984972,71.20024585,-0.42,-4.05
9,20,20.95983919,71.20026148,0.13,-4.05
10,0,20.95987104,71.20004921,-6.06,-4.13
10,1,20.95988156,71.20003358,-6.05,-4.13
10,2,20.95989209,71.20001796,-6.07,-4.13
10,3,20.95990261,71.20000233,-6.04,-4.13
10,4,20.95991313,71.19998671,-6.03,-4.13
10,5,20.95992366,71.19997108,-5.55,-4.13
10,6,20.95993418,71.19995546,-4.52,-4.13
10,7,20.9599447,71.19993983,-3.88,-4.13
10,8,20.95995523,71.19992421,-3.61,-4.13
10,9,20.95996575,71.19990858,-3.53,-4.13
10,10,20.95997627,71.19989296,-3.26,-4.13
10,11,20.95986052,71.20006483,-6.07,-4.13
10,12,20.95984999,71.20008046,-6.13,-4.13
10,13,20.95983947,71.20009608,-6.01,-4.13
10,14,20.95982895,71.20011171,-5.38,-4.13
10,15,20.95981842,71.20012733,-4.26,-4.13
10,16,20.9598079,71.20014296,-3.41,-4.13
10,17,20.95979738,71.20015858,-2.9,-4.13
10,18,20.95978685,71.20017421,-2.09,-4.13
10,19,20.95977633,71.20018983,-1.35,-4.13
10,20,20.95976581,71.20020546,-0.64,-4.13
11,0,20.95979765,71.19999319,-6.27,-4.36
11,1,20.95980808,71.19997749,-6.24,-4.36
11,2,20.9598185,71.19996179,-6.2,-4.36
11,3,20.95982893,71.19994609,-6.19,-4.36
11,4,20.95983935,71.19993039,-5.96,-4.36
11,5,20.95984978,71.19991469,-5.4,-4.36
11,6,20.95986021,71.19989899,-4.72,-4.36
11,7,20.95987063,71.19988329,-3.78,-4.36
11,8,20.95988106,71.1998676,-3.69,-4.36
11,9,20.95989148,71.1998519,-3.52,-4.36
11,10,20.95990191,71.1998362,-3.45,-4.36
11,11,20.95978722,71.20000889,-6.23,-4.36
11,12,20.9597768,71.20002458,-6.36,-4.36
11,13,20.95976637,71.20004028,-6.24,-4.36
11,14,20.95975595,71.20005598,-5.11,-4.36
11,15,20.95974552,71.20007168,-3.81,-4.36
11,16,20.9597351,71.20008738,-3.26,-4.36
11,17,20.95972467,71.20010308,-1.85,-4.36
11,18,20.95971424,71.20011878,-0.67,-4.36
11,19,20.95970382,71.20013448,0.12,-4.36
11,20,20.95969339,71.20015018,0.96,-4.36
12,0,20.95972361,71.19993824,-6.19,-4.44
12,1,20.95973333,71.19992203,-6.44,-4.44
12,2,20.95974305,71.19990583,-6.37,-4.44
12,3,20.95975277,71.19988963,-6.13,-4.44
12,4,20.95976249,71.19987342,-5.81,-4.44
12,5,20.95977221,71.19985722,-5.14,-4.44
12,6,20.95978193,71.19984101,-4.12,-4.44
12,7,20.95979165,71.19982481,-3.67,-4.44
12,8,20.95980137,71.1998086,-3.53,-4.44
12,9,20.95981109,71.1997924,-3.5,-4.44
12,10,20.95982081,71.1997762,-3.53,-4.44
12,11,20.95971389,71.19995444,-6.12,-4.44
12,12,20.95970417,71.19997065,-6.42,-4.44
12,13,20.95969445,71.19998685,-6.37,-4.44
12,14,20.95968473,71.20000306,-4.07,-4.44
12,15,20.95967501,71.20001926,-3.58,-4.44
12,16,20.95966529,71.20003546,-2.97,-4.44
12,17,20.95965557,71.20005167,-2.23,-4.44
12,18,20.95964585,71.20006787,-0.87,-4.44
12,19,20.95963613,71.20008408,0.02,-4.44
12,20,20.95962641,71.20010028,0.59,-4.44
13,0,20.9596456,71.19988982,-5.98,-4.78
13,1,20.95965469,71.19987321,-6.76,-4.78
13,2,20.95966379,71.1998566,-6.78,-4.78
13,3,20.95967289,71.19983999,-6.73,-4.78
13,4,20.95968198,71.19982338,-5.85,-4.78
13,5,20.95969108,71.19980677,-4.52,-4.78
13,6,20.95970017,71.19979016,-4.14,-4.78
13,7,20.95970927,71.19977355,-3.58,-4.78
13,8,20.95971837,71.19975694,-3.47,-4.78
13,9,20.95972746,71.19974033,-3.65,-4.78
13,10,20.95973656,71.19972372,-3.66,-4.78
13,11,20.9596365,71.19990642,-6.24,-4.78
13,12,20.9596274,71.19992303,-6.05,-4.78
